Item_name,user_id,count
coffee,837870,1
coffee,838222,1
coffee,838355,1
coffee,838474,1
coffee,838686,1
coffee,839135,1
coffee,839136,1
coffee,839157,1
coffee,839241,1
coffee,839370,1
coffee,839430,1
coffee,839713,1
coffee,839815,1
coffee,839990,1
coffee,840035,1
coffee,840547,1
coffee,840655,1
coffee,840659,1
coffee,840674,1
coffee,840686,1
coffee,840815,1
coffee,841113,1
coffee,841264,2
coffee,841454,1
coffee,841826,2
coffee,841863,1
coffee,841985,1
coffee,842256,1
coffee,842338,1
coffee,842539,1
coffee,842688,1
coffee,843043,1
coffee,843073,1
coffee,843097,1
coffee,843293,1
coffee,843554,1
coffee,843607,2
coffee,843681,1
coffee,843688,1
coffee,843800,1
coffee,843879,1
coffee,843990,1
coffee,844123,1
coffee,844214,1
coffee,844437,1
coffee,844831,1
coffee,844998,1
coffee,845100,1
coffee,845517,1
coffee,845633,1
coffee,845651,2
coffee,845822,1
coffee,846529,1
coffee,847053,1
coffee,847079,1
coffee,847643,2
coffee,847699,1
coffee,847755,1
coffee,848107,1
coffee,848529,1
coffee,848563,1
coffee,848661,1
coffee,848829,1
coffee,848853,1
coffee,849231,1
coffee,849490,1
coffee,849751,1
coffee,849756,3
coffee,849763,1
coffee,849876,1
coffee,849879,1
coffee,850077,1
coffee,850355,1
coffee,850529,1
coffee,850853,1
coffee,851133,1
coffee,851260,1
coffee,851384,1
coffee,851536,1
coffee,851688,1
coffee,851727,1
coffee,851961,1
coffee,851989,1
coffee,852090,1
coffee,852112,1
coffee,852332,1
coffee,852454,1
coffee,852522,2
coffee,853127,2
coffee,853313,1
coffee,853478,1
coffee,854185,2
coffee,854289,1
coffee,854407,1
coffee,854479,1
coffee,854638,1
coffee,854669,1
coffee,854695,1
coffee,854734,1
coffee,855105,2
coffee,855497,2
coffee,856094,1
coffee,857283,2
coffee,857734,1
coffee,857784,1
coffee,857930,1
coffee,857975,1
coffee,858071,1
coffee,858080,1
coffee,858807,1
coffee,858815,1
